nome_do_anuncio,nome_do_conjunto_de_anuncios,identificacao_da_campanha,veiculacao_do_anuncio,alcance,impressoes,frequencia,tipo_de_resultado,resultados,custo_por_resultado,valor_gasto_brl,cpm_custo_por_1_000_impressoes,cliques_no_link,cpc_custo_por_clique_no_link,ctr_taxa_de_cliques_no_link,inicio_dos_relatorios,termino_dos_relatorios,termino
Default Name - Instalações do aplicativo,GIF Instalações App - Android,23842734598710620,not_delivering,15895,21730,1.3670965712488,Instalações do aplicativo para celular,82,2.1951219512195,180,8.28347906,157,1.14649682,0.72250345144961,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,GIF Instalações App - Android,23842734598710620,not_delivering,15895,21730,1.3670965712488,Instalações do aplicativo para celular,82,2.1951219512195,180,8.28347906,157,1.14649682,0.72250345144961,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,GIF Instalações App - Android,23842734598710620,not_delivering,15895,21730,1.3670965712488,Instalações do aplicativo para celular,82,2.1951219512195,180,8.28347906,157,1.14649682,0.72250345144961,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,GIF Instalações App - Android,23842734598710620,not_delivering,15895,21730,1.3670965712488,Instalações do aplicativo para celular,82,2.1951219512195,180,8.28347906,157,1.14649682,0.72250345144961,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,GIF Instalações App - Android,23842734598710620,not_delivering,15895,21730,1.3670965712488,Instalações do aplicativo para celular,82,2.1951219512195,180,8.28347906,157,1.14649682,0.72250345144961,2017-08-13,2019-02-15,43169
Default Name - Instalações do aplicativo,GIF Instalações App - Android,23842734598710620,not_delivering,15895,21730,1.3670965712488,Instalações do aplicativo para celular,82,2.1951219512195,180,8.28347906,157,1.14649682,0.72250345144961,2017-08-13,2019-02-15,43176
Default Name - Instalações do aplicativo,GIF Instalações App - iOS,23842740076820620,not_delivering,7639,13466,1.7627961775101,Instalações do aplicativo para celular,39,4.6153846153846,180,13.36699837,86,2.09302326,0.63864547749889,2017-08-13,2019-02-15,42978
Default Name - Instalações do aplicativo,GIF Instalações App - iOS,23842740076820620,not_delivering,7639,13466,1.7627961775101,Instalações do aplicativo para celular,39,4.6153846153846,180,13.36699837,86,2.09302326,0.63864547749889,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,GIF Instalações App - iOS,23842740076820620,not_delivering,7639,13466,1.7627961775101,Instalações do aplicativo para celular,39,4.6153846153846,180,13.36699837,86,2.09302326,0.63864547749889,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,GIF Instalações App - iOS,23842740076820620,not_delivering,7639,13466,1.7627961775101,Instalações do aplicativo para celular,39,4.6153846153846,180,13.36699837,86,2.09302326,0.63864547749889,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,GIF Instalações App - iOS,23842740076820620,not_delivering,7639,13466,1.7627961775101,Instalações do aplicativo para celular,39,4.6153846153846,180,13.36699837,86,2.09302326,0.63864547749889,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,GIF Instalações App - iOS,23842740076820620,not_delivering,7639,13466,1.7627961775101,Instalações do aplicativo para celular,39,4.6153846153846,180,13.36699837,86,2.09302326,0.63864547749889,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,GIF Instalações App - iOS,23842740076820620,not_delivering,7639,13466,1.7627961775101,Instalações do aplicativo para celular,39,4.6153846153846,180,13.36699837,86,2.09302326,0.63864547749889,2017-08-13,2019-02-15,43169
Default Name - Instalações do aplicativo,GIF Instalações App - iOS,23842740076820620,not_delivering,7639,13466,1.7627961775101,Instalações do aplicativo para celular,39,4.6153846153846,180,13.36699837,86,2.09302326,0.63864547749889,2017-08-13,2019-02-15,43176
"GIF """"Cobre a entrega da escola ou creche. Fiscalize você mesmo usando o APP Tá de Pé. É fácil de usar..."""" - Envolvimento",46% das obras de escolas e creches,23842617813320620,not_delivering,35842,38874,1.0845934936666,Envolvimento com a publicação,33942,0.0044193035177656,150,3.85862016,,,,2017-08-13,2019-02-15,
Tráfego GIF Irupi-ES,Trafego Irupi - ES GIF,23842624844200620,not_delivering,32189,37039,1.1506725900152,Cliques no link,43,2.3255813953488,100,2.69985691,43,2.3255814,0.11609384702611,2017-08-13,2019-02-15,43003
Depoimento 1 Hortencia - Tráfego,Depoimento 1 - Hortencia,23842623917180620,not_delivering,11702,14684,1.2548282344898,Cliques no link,34,2.9411764705882,100,6.81013348,34,2.94117647,0.23154453827295,2017-08-13,2019-02-15,43003
E a escola Tá de Pé?,E A ESCOLA TA DE PÉ?,23842621512250620,not_delivering,4441,5394,1.2145913082639,Envolvimento com a publicação,2129,0.046970408642555,100,18.53911754,8,12.5,0.14831294030404,2017-08-13,2019-02-15,42995
EMEI Pelotas-RS Face e Instagram,EMEI Pelotas-RS,23842618114500620,not_delivering,4041,4927,1.2192526602326,Envolvimento com a publicação,2068,0.048355899419729,100,20.29632636,9,11.11111111,0.18266693728435,2017-08-13,2019-02-15,42993
A unidade da EMEI Favo de Mel em Gravataí-RS,EMEI Favo de Mel em Gravataí-RS,23842619022320620,not_delivering,3884,4621,1.1897528321318,Envolvimento com a publicação,1960,0.051020408163265,100,21.64033759,12,8.33333333,0.2596840510712,2017-08-13,2019-02-15,42993
"Publicação: """"Conheça o projeto da ONG Transparência Brasil que pode agilizar a entrega de creches e escolas p..."""" - Envolvimento",VÍDEO - Tá de Pé Facebook fixo,23842610280520620,inactive,23722,25260,1.0648343310008,Envolvimento com a publicação,3880,0.019811855670103,76.87,3.04315123,6,12.81166667,0.02375296912114,2017-08-13,2019-02-15,
